CSSColours,RGB,Red_c,Green_c,Blue_c,Red_p,Green_p,Blue_p
maroon,"128,0,0",128,0,0,0.50,0.00,0.00
dark red,"139,0,0",139,0,0,0.55,0.00,0.00
brown,"165,42,42",165,42,42,0.65,0.16,0.16
firebrick,"178,34,34",178,34,34,0.70,0.13,0.13
crimson,"220,20,60",220,20,60,0.86,0.08,0.24
red,"255,0,0",255,0,0,1.00,0.00,0.00
tomato,"255,99,71",255,99,71,1.00,0.39,0.28
coral,"255,127,80",255,127,80,1.00,0.50,0.31
indian red,"205,92,92",205,92,92,0.80,0.36,0.36
light coral,"240,128,128",240,128,128,0.94,0.50,0.50
dark salmon,"233,150,122",233,150,122,0.91,0.59,0.48
salmon,"250,128,114",250,128,114,0.98,0.50,0.45
light salmon,"255,160,122",255,160,122,1.00,0.63,0.48
orange red,"255,69,0",255,69,90,1.00,0.27,0.35
dark orange,"255,140,0",255,140,0,1.00,0.55,0.00
orange,"255,165,0",255,165,50,1.00,0.65,0.20
gold,"255,215,0",255,215,50,1.00,0.84,0.20
dark golden rod,"184,134,11",184,134,11,0.72,0.53,0.04
golden rod,"218,165,32",218,165,32,0.85,0.65,0.13
pale golden rod,"238,232,170",238,232,170,0.93,0.91,0.67
dark khaki,"189,183,107",189,183,107,0.74,0.72,0.42
khaki,"240,230,140",240,230,140,0.94,0.90,0.55
olive,"128,128,0",128,128,80,0.50,0.50,0.31
yellow,"255,255,0",255,255,50,1.00,1.00,0.20
yellow green,"154,205,50",154,205,50,0.60,0.80,0.20
dark olive green,"85,107,47",85,107,47,0.33,0.42,0.18
olive drab,"107,142,35",107,142,35,0.42,0.56,0.14
lawn green,"124,252,0",124,252,20,0.49,0.99,0.08
chart reuse,"127,255,0",127,255,50,0.50,1.00,0.20
green yellow,"173,255,47",173,255,47,0.68,1.00,0.18
dark green,"0,100,0",0,100,0,0.00,0.39,0.00
green,"0,128,0",0,128,0,0.00,0.50,0.00
forest green,"34,139,34",34,139,34,0.13,0.55,0.13
lime,"0,255,0",0,255,0,0.00,1.00,0.00
lime green,"50,205,50",50,205,50,0.20,0.80,0.20
light green,"144,238,144",144,238,144,0.56,0.93,0.56
pale green,"152,251,152",152,251,152,0.60,0.98,0.60
dark sea green,"143,188,143",143,188,143,0.56,0.74,0.56
medium spring green,"0,250,154",0,250,4,0.00,0.98,0.02
spring green,"0,255,127",0,255,7,0.00,1.00,0.03
sea green,"46,139,87",46,139,87,0.18,0.55,0.34
medium aqua marine,"102,205,170",102,205,170,0.40,0.80,0.67
medium sea green,"60,179,113",60,179,13,0.24,0.70,0.05
light sea green,"32,178,170",32,178,70,0.13,0.70,0.27
dark slate gray,"47,79,79",47,79,79,0.18,0.31,0.31
teal,"0,128,128",0,128,8,0.00,0.50,0.03
dark cyan,"0,139,139",0,139,9,0.00,0.55,0.04
aqua,"0,255,255",0,255,5,0.00,1.00,0.02
cyan,"0,255,255",0,255,5,0.00,1.00,0.02
light cyan,"224,255,255",224,255,255,0.88,1.00,1.00
dark turquoise,"0,206,209",0,206,9,0.00,0.81,0.04
turquoise,"64,224,208",64,224,8,0.25,0.88,0.03
medium turquoise,"72,209,204",72,209,4,0.28,0.82,0.02
pale turquoise,"175,238,238",175,238,238,0.69,0.93,0.93
aqua marine,"127,255,212",127,255,212,0.50,1.00,0.83
powder blue,"176,224,230",176,224,230,0.69,0.88,0.90
cadet blue,"95,158,160",95,158,60,0.37,0.62,0.24
steel blue,"70,130,180",70,130,80,0.27,0.51,0.31
corn flower blue,"100,149,237",100,149,237,0.39,0.58,0.93
deep sky blue,"0,191,255",0,191,5,0.00,0.75,0.02
dodger blue,"30,144,255",30,144,55,0.12,0.56,0.22
light blue,"173,216,230",173,216,230,0.68,0.85,0.90
sky blue,"135,206,235",135,206,235,0.53,0.81,0.92
light sky blue,"135,206,250",135,206,250,0.53,0.81,0.98
midnight blue,"25,25,112",25,25,12,0.10,0.10,0.05
navy,"0,0,128",0,0,8,0.00,0.00,0.03
dark blue,"0,0,139",0,0,9,0.00,0.00,0.04
medium blue,"0,0,205",0,0,5,0.00,0.00,0.02
blue,"0,0,255",0,0,5,0.00,0.00,0.02
royal blue,"65,105,225",65,105,25,0.25,0.41,0.10
blue violet,"138,43,226",138,43,226,0.54,0.17,0.89
indigo,"75,0,130",75,0,30,0.29,0.00,0.12
dark slate blue,"72,61,139",72,61,39,0.28,0.24,0.15
slate blue,"106,90,205",106,90,205,0.42,0.35,0.80
medium slate blue,"123,104,238",123,104,238,0.48,0.41,0.93
medium purple,"147,112,219",147,112,219,0.58,0.44,0.86
dark magenta,"139,0,139",139,0,139,0.55,0.00,0.55
dark violet,"148,0,211",148,0,211,0.58,0.00,0.83
dark orchid,"153,50,204",153,50,204,0.60,0.20,0.80
medium orchid,"186,85,211",186,85,211,0.73,0.33,0.83
purple,"128,0,128",128,0,128,0.50,0.00,0.50
thistle,"216,191,216",216,191,216,0.85,0.75,0.85
plum,"221,160,221",221,160,221,0.87,0.63,0.87
violet,"238,130,238",238,130,238,0.93,0.51,0.93
magenta / fuchsia,"255,0,255",255,0,255,1.00,0.00,1.00
orchid,"218,112,214",218,112,214,0.85,0.44,0.84
medium violet red,"199,21,133",199,21,133,0.78,0.08,0.52
pale violet red,"219,112,147",219,112,147,0.86,0.44,0.58
deep pink,"255,20,147",255,20,147,1.00,0.08,0.58
hot pink,"255,105,180",255,105,180,1.00,0.41,0.71
light pink,"255,182,193",255,182,193,1.00,0.71,0.76
pink,"255,192,203",255,192,203,1.00,0.75,0.80
antique white,"250,235,215",250,235,215,0.98,0.92,0.84
beige,"245,245,220",245,245,220,0.96,0.96,0.86
bisque,"255,228,196",255,228,196,1.00,0.89,0.77
blanched almond,"255,235,205",255,235,205,1.00,0.92,0.80
wheat,"245,222,179",245,222,179,0.96,0.87,0.70
corn silk,"255,248,220",255,248,220,1.00,0.97,0.86
lemon chiffon,"255,250,205",255,250,205,1.00,0.98,0.80
light golden rod yellow,"250,250,210",250,250,210,0.98,0.98,0.82
light yellow,"255,255,224",255,255,224,1.00,1.00,0.88
saddle brown,"139,69,19",139,69,19,0.55,0.27,0.07
sienna,"160,82,45",160,82,45,0.63,0.32,0.18
chocolate,"210,105,30",210,105,30,0.82,0.41,0.12
peru,"205,133,63",205,133,63,0.80,0.52,0.25
sandy brown,"244,164,96",244,164,96,0.96,0.64,0.38
burly wood,"222,184,135",222,184,135,0.87,0.72,0.53
tan,"210,180,140",210,180,140,0.82,0.71,0.55
rosy brown,"188,143,143",188,143,143,0.74,0.56,0.56
moccasin,"255,228,181",255,228,181,1.00,0.89,0.71
navajo white,"255,222,173",255,222,173,1.00,0.87,0.68
peach puff,"255,218,185",255,218,185,1.00,0.85,0.73
misty rose,"255,228,225",255,228,225,1.00,0.89,0.88
lavender blush,"255,240,245",255,240,245,1.00,0.94,0.96
linen,"250,240,230",250,240,230,0.98,0.94,0.90
old lace,"253,245,230",253,245,230,0.99,0.96,0.90
papaya whip,"255,239,213",255,239,213,1.00,0.94,0.84
sea shell,"255,245,238",255,245,238,1.00,0.96,0.93
mint cream,"245,255,250",245,255,250,0.96,1.00,0.98
slate gray,"112,128,144",112,128,144,0.44,0.50,0.56
light slate gray,"119,136,153",119,136,153,0.47,0.53,0.60
light steel blue,"176,196,222",176,196,222,0.69,0.77,0.87
lavender,"230,230,250",230,230,250,0.90,0.90,0.98
floral white,"255,250,240",255,250,240,1.00,0.98,0.94
alice blue,"240,248,255",240,248,255,0.94,0.97,1.00
ghost white,"248,248,255",248,248,255,0.97,0.97,1.00
honeydew,"240,255,240",240,255,240,0.94,1.00,0.94
ivory,"255,255,240",255,255,240,1.00,1.00,0.94
azure,"240,255,255",240,255,255,0.94,1.00,1.00
snow,"255,250,250",255,250,250,1.00,0.98,0.98
black,"0,0,0",0,0,0,0.00,0.00,0.00
dim gray / dim grey,"105,105,105",105,105,105,0.41,0.41,0.41
gray / grey,"128,128,128",128,128,128,0.50,0.50,0.50
dark gray / dark grey,"169,169,169",169,169,169,0.66,0.66,0.66
silver,"192,192,192",192,192,192,0.75,0.75,0.75
light gray / light grey,"211,211,211",211,211,211,0.83,0.83,0.83
gainsboro,"220,220,220",220,220,220,0.86,0.86,0.86
white smoke,"245,245,245",245,245,245,0.96,0.96,0.96
white,"255,255,255",255,255,255,1.00,1.00,1.00
